"ID","Day","Quantity"
"2","2","5757"
"4","2","8273"
"14","2","9819"
"18","2","7396"
"33","2","6672"
"47","2","6233"
"544","2","426"
"572","2","962"
"600","2","4791"
"743","2","3666"
"863","2","6704"
"1061","2","6820"
"1389","2","5553"
"18211","2","5065"
"22022","2","33504"
"23043","2","5485"
"24089","2","5296"
"28171","2","6023"
"57357","2","26722"
"60691","2","5245"
"69486","2","21680"
"95660","2","22933"
"95841","2","13464"
"96011","2","13704"
"100761","2","14597"
"101016","2","31143"
"102904","2","9938"
"103294","2","28908"
"104994","2","14806"
"105192","2","13884"
"105225","2","28352"
"107284","2","11400"
"107909","2","14795"
"108613","2","23405"
"109056","2","5000"
"110488","2","16000"
"110670","2","16500"
"111823","2","10000"
"112003","2","21000"
"112121","2","16000"
"113376","2","7500"
"113740","2","11000"
"116207","2","500"
"2","3","5757"
"4","3","8273"
"14","3","9819"
"18","3","7396"
"33","3","6672"
"47","3","6233"
"544","3","426"
"572","3","962"
"600","3","4791"
"743","3","3666"
"863","3","6704"
"1061","3","6820"
"1389","3","5553"
"18211","3","5065"
"22022","3","33504"
"23043","3","5485"
"24089","3","5296"
"28171","3","6023"
"57357","3","26722"
"60691","3","5245"
"69486","3","21680"
"95660","3","22933"
"95841","3","13464"
"96011","3","13704"
"100761","3","14597"
"101016","3","31143"
"102904","3","9938"
"103294","3","28908"
"104994","3","14806"
"105192","3","13884"
"105225","3","28352"
"107284","3","11400"
"107909","3","14795"
"108613","3","23405"
"109056","3","5000"
"110488","3","16000"
"110670","3","16500"
"111823","3","10000"
"112003","3","21000"
"112121","3","16000"
"113376","3","7500"
"113740","3","11000"
"116207","3","500"
"2","4","5757"
"4","4","8273"
"14","4","9819"
"18","4","7396"
"33","4","6672"
"47","4","6233"
"544","4","426"
"572","4","962"
"600","4","4791"
"743","4","3666"
"863","4","6704"
"1061","4","6820"
"1389","4","5553"
"18211","4","5065"
"22022","4","33504"
"23043","4","5485"
"24089","4","5296"
"28171","4","6023"
"57357","4","26722"
"60691","4","5245"
"69486","4","21680"
"95660","4","22933"
"95841","4","13464"
"96011","4","13704"
"100761","4","14597"
"101016","4","31143"
"102904","4","9938"
"103294","4","28908"
"104994","4","14806"
"105192","4","13884"
"105225","4","28352"
"107284","4","11400"
"107909","4","14795"
"108613","4","23405"
"109056","4","5000"
"110488","4","16000"
"110670","4","16500"
"111823","4","10000"
"112003","4","21000"
"112121","4","16000"
"113376","4","7500"
"113740","4","11000"
"116207","4","500"
"2","5","5757"
"4","5","8273"
"14","5","9819"
"18","5","7396"
"33","5","6672"
"47","5","6233"
"544","5","426"
"572","5","962"
"600","5","4791"
"743","5","3666"
"863","5","6704"
"1061","5","6820"
"1389","5","5553"
"18211","5","5065"
"22022","5","33504"
"23043","5","5485"
"24089","5","5296"
"28171","5","6023"
"57357","5","26722"
"60691","5","5245"
"69486","5","21680"
"95660","5","22933"
"95841","5","13464"
"96011","5","13704"
"100761","5","14597"
"101016","5","31143"
"102904","5","9938"
"103294","5","28908"
"104994","5","14806"
"105192","5","13884"
"105225","5","28352"
"107284","5","11400"
"107909","5","14795"
"108613","5","23405"
"109056","5","5000"
"110488","5","16000"
"110670","5","16500"
"111823","5","10000"
"112003","5","21000"
"112121","5","16000"
"113376","5","7500"
"113740","5","11000"
"116207","5","500"
"2","8","5757"
"4","8","8273"
"14","8","9819"
"18","8","7396"
"33","8","6672"
"47","8","6233"
"544","8","426"
"572","8","962"
"600","8","4791"
"743","8","3666"
"863","8","6704"
"1061","8","6820"
"1389","8","5553"
"18211","8","5065"
"22022","8","33504"
"23043","8","5485"
"24089","8","5296"
"28171","8","6023"
"57357","8","26722"
"60691","8","5245"
"69486","8","21680"
"95660","8","22933"
"95841","8","13464"
"96011","8","13704"
"100761","8","14597"
"101016","8","31143"
"102904","8","9938"
"103294","8","28908"
"104994","8","14806"
"105192","8","13884"
"105225","8","28352"
"107284","8","11400"
"107909","8","14795"
"108613","8","23405"
"109056","8","5000"
"110488","8","16000"
"110670","8","16500"
"111823","8","10000"
"112003","8","21000"
"112121","8","16000"
"113376","8","7500"
"113740","8","11000"
"116207","8","500"
"2","9","5757"
"4","9","8273"
"14","9","9808"
"18","9","7396"
"33","9","6672"
"47","9","6233"
"544","9","426"
"572","9","965"
"600","9","4789"
"743","9","3668"
"863","9","6704"
"1061","9","6820"
"1389","9","5491"
"18211","9","5065"
"22022","9","33504"
"23043","9","5487"
"24089","9","5296"
"28171","9","6023"
"57357","9","26722"
"60691","9","5245"
"69486","9","21680"
"95660","9","22933"
"95841","9","13464"
"96011","9","13704"
"100761","9","14597"
"101016","9","31143"
"102904","9","9938"
"103294","9","28890"
"104994","9","14806"
"105192","9","13884"
"105225","9","28352"
"107284","9","11400"
"107909","9","14795"
"108613","9","23405"
"109056","9","5000"
"110488","9","16000"
"110670","9","16500"
"111823","9","10000"
"112003","9","21000"
"112121","9","16000"
"113376","9","7500"
"113740","9","11000"
"116207","9","500"
"2","10","5757"
"4","10","8273"
"14","10","9808"
"18","10","7396"
"33","10","6672"
"47","10","6233"
"544","10","426"
"572","10","965"
"600","10","4789"
"743","10","3668"
"863","10","6704"
"1061","10","6820"
"1389","10","5491"
"18211","10","5065"
"22022","10","33504"
"23043","10","5487"
"24089","10","5296"
"28171","10","6023"
"57357","10","26722"
"60691","10","5245"
"69486","10","21680"
"95660","10","22933"
"95841","10","13464"
"96011","10","13704"
"100761","10","14597"
"101016","10","31143"
"102904","10","9938"
"103294","10","28890"
"104994","10","14806"
"105192","10","13884"
"105225","10","28352"
"107284","10","11400"
"107909","10","14795"
"108613","10","23405"
"109056","10","5000"
"110488","10","16000"
"110670","10","16500"
"111823","10","10000"
"112003","10","21000"
"112121","10","16000"
"113376","10","11500"
"113740","10","11000"
"116207","10","500"
"2","11","5757"
"4","11","8273"
"14","11","9808"
"18","11","7396"
"33","11","6672"
"47","11","6233"
"544","11","426"
"572","11","965"
"600","11","4789"
"743","11","3668"
"863","11","6704"
"1061","11","6820"
"1389","11","5491"
"18211","11","5065"
"22022","11","33504"
"23043","11","5487"
"24089","11","5296"
"28171","11","6023"
"57357","11","26722"
"60691","11","5245"
"69486","11","21680"
"95660","11","22933"
"95841","11","13464"
"96011","11","13704"
"100761","11","14597"
"101016","11","31143"
"102904","11","9938"
"103294","11","28890"
"104994","11","14806"
"105192","11","13884"
"105225","11","28352"
"107284","11","11400"
"107909","11","14795"
"108613","11","23405"
"109056","11","5000"
"110488","11","16000"
"110670","11","16500"
"111823","11","10000"
"112003","11","21000"
"112121","11","16000"
"113376","11","11500"
"113740","11","15000"
"116207","11","500"
"2","12","5757"
"4","12","8273"
"14","12","9808"
"18","12","7396"
"33","12","6672"
"47","12","6233"
"544","12","426"
"572","12","965"
"600","12","4789"
"743","12","3668"
"863","12","6704"
"1061","12","6820"
"1389","12","5491"
"18211","12","5065"
"22022","12","33504"
"23043","12","5487"
"24089","12","5296"
"28171","12","6023"
"57357","12","26722"
"60691","12","5245"
"69486","12","21680"
"95660","12","22933"
"95841","12","13464"
"96011","12","13704"
"100761","12","14597"
"101016","12","31143"
"102904","12","9938"
"103294","12","28890"
"104994","12","14806"
"105192","12","13884"
"105225","12","28352"
"107284","12","11400"
"107909","12","14795"
"108613","12","23405"
"109056","12","5000"
"110488","12","16000"
"110670","12","16500"
"111823","12","10000"
"112003","12","21000"
"112121","12","16000"
"113376","12","11500"
"113740","12","15000"
"116207","12","500"
"2","15","5757"
"4","15","8273"
"14","15","9808"
"18","15","7396"
"33","15","6672"
"47","15","6233"
"544","15","426"
"572","15","965"
"600","15","4789"
"743","15","3668"
"863","15","6704"
"1061","15","6820"
"1389","15","5491"
"18211","15","5065"
"22022","15","33504"
"23043","15","5487"
"24089","15","5296"
"28171","15","6023"
"57357","15","26722"
"60691","15","5245"
"69486","15","21680"
"95660","15","22933"
"95841","15","13464"
"96011","15","13704"
"100761","15","14597"
"101016","15","31143"
"102904","15","9938"
"103294","15","28890"
"104994","15","14806"
"105192","15","13884"
"105225","15","28352"
"107284","15","11400"
"107909","15","14795"
"108613","15","23405"
"109056","15","5000"
"110488","15","16000"
"110670","15","16500"
"111823","15","10000"
"112003","15","21000"
"112121","15","16000"
"113376","15","11500"
"113740","15","15000"
"116207","15","500"
"2","16","5757"
"4","16","8273"
"14","16","9808"
"18","16","7396"
"33","16","6672"
"47","16","6233"
"544","16","426"
"572","16","965"
"600","16","4789"
"743","16","3668"
"863","16","6704"
"1061","16","6820"
"1389","16","5491"
"18211","16","5065"
"22022","16","33504"
"23043","16","5487"
"24089","16","5296"
"28171","16","6023"
"57357","16","26722"
"60691","16","5245"
"69486","16","21680"
"95660","16","22933"
"95841","16","13464"
"96011","16","13704"
"100761","16","14597"
"101016","16","31143"
"102904","16","9938"
"103294","16","28890"
"104994","16","14806"
"105192","16","13884"
"105225","16","28352"
"107284","16","11400"
"107909","16","14795"
"108613","16","23405"
"109056","16","5000"
"110488","16","16000"
"110670","16","16500"
"111823","16","10000"
"112003","16","21000"
"112121","16","16000"
"113376","16","11500"
"113740","16","15000"
"116207","16","500"
"2","17","5757"
"4","17","8273"
"14","17","9808"
"18","17","7396"
"33","17","6672"
